player_key,name,gender,issue,detail
men:sackmann:213174,Mickael Kaouk,men,match_count_sum_mismatch,"sum(surface_matches)=25, matches=27"
men:sackmann:213174,Mickael Kaouk,men,match_count_sum_mismatch,"sum(level_surface_matches)=25, matches=27"
men:sackmann:213551,Jakub Vrba ,men,match_count_sum_mismatch,"sum(surface_matches)=7, matches=8"
men:sackmann:213551,Jakub Vrba ,men,match_count_sum_mismatch,"sum(level_surface_matches)=7, matches=8"
men:sackmann:213632,Glib Sekachov,men,match_count_sum_mismatch,"sum(surface_matches)=16, matches=17"
men:sackmann:213632,Glib Sekachov,men,match_count_sum_mismatch,"sum(level_surface_matches)=16, matches=17"
men:sackmann:213713,Melios Efstathiou,men,match_count_sum_mismatch,"sum(surface_matches)=75, matches=76"
men:sackmann:213713,Melios Efstathiou,men,match_count_sum_mismatch,"sum(level_surface_matches)=75, matches=76"
men:sackmann:213716,Yoshka Sborowsky,men,match_count_sum_mismatch,"sum(surface_matches)=13, matches=14"
men:sackmann:213716,Yoshka Sborowsky,men,match_count_sum_mismatch,"sum(level_surface_matches)=13, matches=14"
men:sackmann:214201,Aaron Gabet,men,match_count_sum_mismatch,"sum(surface_matches)=4, matches=5"
men:sackmann:214201,Aaron Gabet,men,match_count_sum_mismatch,"sum(level_surface_matches)=4, matches=5"
women:sackmann:201666,Cagla Buyukakcay,women,match_count_sum_mismatch,"sum(surface_matches)=176, matches=177"
women:sackmann:201666,Cagla Buyukakcay,women,match_count_sum_mismatch,"sum(level_surface_matches)=176, matches=177"
women:sackmann:202440,Paula Ormaechea,women,match_count_sum_mismatch,"sum(surface_matches)=54, matches=55"
women:sackmann:202440,Paula Ormaechea,women,match_count_sum_mismatch,"sum(level_surface_matches)=54, matches=55"
women:sackmann:206194,Gabriela Ce,women,match_count_sum_mismatch,"sum(surface_matches)=196, matches=197"
women:sackmann:206194,Gabriela Ce,women,match_count_sum_mismatch,"sum(level_surface_matches)=196, matches=197"
women:sackmann:206336,Julia Stamatova,women,match_count_sum_mismatch,"sum(surface_matches)=172, matches=173"
women:sackmann:206336,Julia Stamatova,women,match_count_sum_mismatch,"sum(level_surface_matches)=172, matches=173"
women:sackmann:206345,Victoria Bosio,women,match_count_sum_mismatch,"sum(surface_matches)=149, matches=150"
women:sackmann:206345,Victoria Bosio,women,match_count_sum_mismatch,"sum(level_surface_matches)=149, matches=150"
women:sackmann:206408,Nadia Podoroska,women,match_count_sum_mismatch,"sum(surface_matches)=153, matches=154"
women:sackmann:206408,Nadia Podoroska,women,match_count_sum_mismatch,"sum(level_surface_matches)=153, matches=154"
women:sackmann:210847,Miriana Tona,women,match_count_sum_mismatch,"sum(surface_matches)=182, matches=183"
women:sackmann:210847,Miriana Tona,women,match_count_sum_mismatch,"sum(level_surface_matches)=182, matches=183"
women:sackmann:211063,Valeriya Strakhova,women,match_count_sum_mismatch,"sum(surface_matches)=217, matches=218"
women:sackmann:211063,Valeriya Strakhova,women,match_count_sum_mismatch,"sum(level_surface_matches)=217, matches=218"
women:sackmann:211310,Ingrid Vojcinakova,women,match_count_sum_mismatch,"sum(surface_matches)=97, matches=98"
women:sackmann:211310,Ingrid Vojcinakova,women,match_count_sum_mismatch,"sum(level_surface_matches)=97, matches=98"
women:sackmann:211646,Oana Georgeta Simion,women,match_count_sum_mismatch,"sum(surface_matches)=138, matches=139"
women:sackmann:211646,Oana Georgeta Simion,women,match_count_sum_mismatch,"sum(level_surface_matches)=138, matches=139"
women:sackmann:211920,Martina Capurro Taborda,women,match_count_sum_mismatch,"sum(surface_matches)=192, matches=193"
women:sackmann:211920,Martina Capurro Taborda,women,match_count_sum_mismatch,"sum(level_surface_matches)=192, matches=193"
women:sackmann:213584,Irina Fetecau,women,match_count_sum_mismatch,"sum(surface_matches)=83, matches=84"
women:sackmann:213584,Irina Fetecau,women,match_count_sum_mismatch,"sum(level_surface_matches)=83, matches=84"
women:sackmann:213657,Martha Matoula,women,match_count_sum_mismatch,"sum(surface_matches)=204, matches=205"
women:sackmann:213657,Martha Matoula,women,match_count_sum_mismatch,"sum(level_surface_matches)=204, matches=205"
women:sackmann:214507,Berfu Cengiz,women,match_count_sum_mismatch,"sum(surface_matches)=170, matches=171"
women:sackmann:214507,Berfu Cengiz,women,match_count_sum_mismatch,"sum(level_surface_matches)=170, matches=171"
women:sackmann:214746,Federica Bilardo,women,match_count_sum_mismatch,"sum(surface_matches)=69, matches=70"
women:sackmann:214746,Federica Bilardo,women,match_count_sum_mismatch,"sum(level_surface_matches)=69, matches=70"
women:sackmann:214784,Daria Kuczer,women,match_count_sum_mismatch,"sum(surface_matches)=104, matches=105"
women:sackmann:214784,Daria Kuczer,women,match_count_sum_mismatch,"sum(level_surface_matches)=104, matches=105"
women:sackmann:214919,Dalila Spiteri,women,match_count_sum_mismatch,"sum(surface_matches)=177, matches=178"
women:sackmann:214919,Dalila Spiteri,women,match_count_sum_mismatch,"sum(level_surface_matches)=177, matches=178"
women:sackmann:214992,Zhibek Kulambayeva,women,match_count_sum_mismatch,"sum(surface_matches)=196, matches=198"
women:sackmann:214992,Zhibek Kulambayeva,women,match_count_sum_mismatch,"sum(level_surface_matches)=196, matches=198"
women:sackmann:215013,Marcelina Podlinska,women,match_count_sum_mismatch,"sum(surface_matches)=151, matches=152"
women:sackmann:215013,Marcelina Podlinska,women,match_count_sum_mismatch,"sum(level_surface_matches)=151, matches=152"
women:sackmann:215966,Maria Toma,women,match_count_sum_mismatch,"sum(surface_matches)=155, matches=156"
women:sackmann:215966,Maria Toma,women,match_count_sum_mismatch,"sum(level_surface_matches)=155, matches=156"
women:sackmann:216030,Anna Ozerova,women,match_count_sum_mismatch,"sum(surface_matches)=49, matches=50"
women:sackmann:216030,Anna Ozerova,women,match_count_sum_mismatch,"sum(level_surface_matches)=49, matches=50"
women:sackmann:216051,Angelica Raggi,women,match_count_sum_mismatch,"sum(surface_matches)=133, matches=134"
women:sackmann:216051,Angelica Raggi,women,match_count_sum_mismatch,"sum(level_surface_matches)=133, matches=134"
women:sackmann:216579,Weronika Falkowska,women,match_count_sum_mismatch,"sum(surface_matches)=159, matches=160"
women:sackmann:216579,Weronika Falkowska,women,match_count_sum_mismatch,"sum(level_surface_matches)=159, matches=160"
women:sackmann:220297,Selina Atay,women,match_count_sum_mismatch,"sum(surface_matches)=132, matches=133"
women:sackmann:220297,Selina Atay,women,match_count_sum_mismatch,"sum(level_surface_matches)=132, matches=133"
women:sackmann:220740,Ivana Sebestova,women,match_count_sum_mismatch,"sum(surface_matches)=130, matches=132"
women:sackmann:220740,Ivana Sebestova,women,match_count_sum_mismatch,"sum(level_surface_matches)=130, matches=132"
women:sackmann:220757,Lia Karatancheva,women,match_count_sum_mismatch,"sum(surface_matches)=204, matches=205"
women:sackmann:220757,Lia Karatancheva,women,match_count_sum_mismatch,"sum(level_surface_matches)=204, matches=205"
women:sackmann:221031,Anastasia Abbagnato,women,match_count_sum_mismatch,"sum(surface_matches)=168, matches=169"
women:sackmann:221031,Anastasia Abbagnato,women,match_count_sum_mismatch,"sum(level_surface_matches)=168, matches=169"
women:sackmann:221104,Hibah Shaikh,women,match_count_sum_mismatch,"sum(surface_matches)=117, matches=118"
women:sackmann:221104,Hibah Shaikh,women,match_count_sum_mismatch,"sum(level_surface_matches)=117, matches=118"
women:sackmann:221168,Ilinca Dalina Amariei,women,match_count_sum_mismatch,"sum(surface_matches)=207, matches=209"
women:sackmann:221168,Ilinca Dalina Amariei,women,match_count_sum_mismatch,"sum(level_surface_matches)=207, matches=209"
women:sackmann:221259,Joelle Lilly Sophie Steur,women,match_count_sum_mismatch,"sum(surface_matches)=157, matches=159"
women:sackmann:221259,Joelle Lilly Sophie Steur,women,match_count_sum_mismatch,"sum(level_surface_matches)=157, matches=159"
women:sackmann:221315,Beatris Spasova,women,match_count_sum_mismatch,"sum(surface_matches)=65, matches=66"
women:sackmann:221315,Beatris Spasova,women,match_count_sum_mismatch,"sum(level_surface_matches)=65, matches=66"
women:sackmann:221364,Denislava Glushkova,women,match_count_sum_mismatch,"sum(surface_matches)=200, matches=201"
women:sackmann:221364,Denislava Glushkova,women,match_count_sum_mismatch,"sum(level_surface_matches)=200, matches=201"
women:sackmann:221465,Sofia Rocchetti,women,match_count_sum_mismatch,"sum(surface_matches)=185, matches=186"
women:sackmann:221465,Sofia Rocchetti,women,match_count_sum_mismatch,"sum(level_surface_matches)=185, matches=186"
women:sackmann:221469,Beatrice Ricci,women,match_count_sum_mismatch,"sum(surface_matches)=131, matches=132"
women:sackmann:221469,Beatrice Ricci,women,match_count_sum_mismatch,"sum(level_surface_matches)=131, matches=132"
women:sackmann:221568,Madelief Hageman,women,match_count_sum_mismatch,"sum(surface_matches)=205, matches=206"
women:sackmann:221568,Madelief Hageman,women,match_count_sum_mismatch,"sum(level_surface_matches)=205, matches=206"
women:sackmann:221911,Selena Janicijevic,women,match_count_sum_mismatch,"sum(surface_matches)=208, matches=209"
women:sackmann:221911,Selena Janicijevic,women,match_count_sum_mismatch,"sum(level_surface_matches)=208, matches=209"
women:sackmann:221933,Marian Gomez Pezuela Cano,women,match_count_sum_mismatch,"sum(surface_matches)=84, matches=85"
women:sackmann:221933,Marian Gomez Pezuela Cano,women,match_count_sum_mismatch,"sum(level_surface_matches)=84, matches=85"
women:sackmann:221940,Khrystyna Vozniak,women,match_count_sum_mismatch,"sum(surface_matches)=59, matches=60"
women:sackmann:221940,Khrystyna Vozniak,women,match_count_sum_mismatch,"sum(level_surface_matches)=59, matches=60"
women:sackmann:222397,Laura Hietaranta,women,match_count_sum_mismatch,"sum(surface_matches)=200, matches=201"
women:sackmann:222397,Laura Hietaranta,women,match_count_sum_mismatch,"sum(level_surface_matches)=200, matches=201"
women:sackmann:222481,Elena Korokozidi,women,match_count_sum_mismatch,"sum(surface_matches)=120, matches=121"
women:sackmann:222481,Elena Korokozidi,women,match_count_sum_mismatch,"sum(level_surface_matches)=120, matches=121"
women:sackmann:223120,Briana Szabo,women,match_count_sum_mismatch,"sum(surface_matches)=135, matches=136"
