priority_rank,priority,api_player_key,api_player_id,api_name,gender,mapping_status,api_source_match_count,example_index,date,tournament,level,surface,round,result_side,opponent_key,opponent_name,opponent_mapped,score,api_event_key,source_file,candidate_action,candidate_count,top_candidates,search_query_hint
1,high_level,women:api:102994,102994,M. V. Pop,women,unmapped,2,2,2026-05-28,French Open,grand_slam,clay,Girls French Open - Semi-finals,winner,women:api:89210,R. Yoshida,no,2 - 0,12131735,2026-05-28.json,no_candidate,1,,M. V. Pop R. Yoshida French Open 2026-05-28 2 - 0
1,high_level,women:api:103004,103004,E. Gomes,women,unmapped,1,1,2026-05-31,French Open,grand_slam,clay,Girls French Open - 1/32-finals,loser,women:api:95213,S. Bielinska,no,2 - 0,12132212,2026-05-31.json,no_candidate,1,,E. Gomes S. Bielinska French Open 2026-05-31 2 - 0
1,high_level,women:api:103787,103787,M. Steinkamp,women,unmapped,1,1,2026-06-13,Berlin,atp_wta,clay,WTA Berlin - Semi-finals,loser,women:api:1825,S. Zhang,no,0 - 2,12136391,2026-06-13.json,no_candidate,1,,M. Steinkamp S. Zhang Berlin 2026-06-13 0 - 2
1,high_level,women:api:1151,1151,G. Ruse,women,unmapped,3,1,2026-06-12,Hertogenbosch,qualifying,grass,WTA Hertogenbosch - Quarter-finals,loser,women:api:2801,B. Krejcikova,no,2 - 0,12136034,2026-06-12.json,no_candidate,1,,G. Ruse B. Krejcikova Hertogenbosch 2026-06-12 2 - 0
1,high_level,women:api:1151,1151,G. Ruse,women,unmapped,3,2,2026-06-11,Hertogenbosch,atp_wta,grass,WTA Hertogenbosch - 1/8-finals,winner,women:api:521,E. Mertens,no,2 - 0,12135222,2026-06-11.json,no_candidate,1,,G. Ruse E. Mertens Hertogenbosch 2026-06-11 2 - 0
1,high_level,women:api:1151,1151,G. Ruse,women,unmapped,3,3,2026-06-09,Hertogenbosch,atp_wta,grass,WTA Hertogenbosch - 1/16-finals,winner,women:api:501,T. Korpatsch,no,0 - 2,12134280,2026-06-09.json,no_candidate,1,,G. Ruse T. Korpatsch Hertogenbosch 2026-06-09 0 - 2
1,high_level,women:api:135,135,M. Bassols,women,unmapped,2,1,2026-06-09,Modena (Italy) - Qualification,qualifying,clay,Modena - 1/16-finals,loser,women:api:157,D. Semenistaja,no,1 - 2,12134517,2026-06-09.json,no_candidate,1,,M. Bassols D. Semenistaja Modena (Italy) - Qualification 2026-06-09 1 - 2
1,high_level,women:api:135,135,M. Bassols,women,unmapped,2,2,2026-05-27,French Open,grand_slam,clay,WTA French Open - 1/32-finals,loser,women:api:9534,M. Andreeva,no,2 - 1,12130601,2026-05-27.json,no_candidate,1,,M. Bassols M. Andreeva French Open 2026-05-27 2 - 1
1,high_level,women:api:14547,14547,A. Korneeva,women,ambiguous,3,1,2026-06-09,Ilkley,challenger,grass,Ilkley - 1/16-finals,loser,women:api:10911,C. Naef,no,0 - 2,12134695,2026-06-09.json,manual_review,2,women:sackmann:252499 | Alina Korneeva | score=0.975 | manual_review ; women:sackmann:269758 | Alexandra Korneeva | score=0.975 | candidate,A. Korneeva C. Naef Ilkley 2026-06-09 0 - 2
1,high_level,women:api:14547,14547,A. Korneeva,women,ambiguous,3,2,2026-05-28,French Open,grand_slam,clay,WTA French Open - 1/32-finals,loser,women:api:1820,A. Kalinskaya,no,2 - 0,12131130,2026-05-28.json,manual_review,2,women:sackmann:252499 | Alina Korneeva | score=0.975 | manual_review ; women:sackmann:269758 | Alexandra Korneeva | score=0.975 | candidate,A. Korneeva A. Kalinskaya French Open 2026-05-28 2 - 0
