api_player_key,raw_api_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
men:api:54520,54520,S. Klaassen,men,missing_mapping_entry,1,E. Bynoe,"M15 Irvine, CA",Itf Men Singles,,,,,,
women:api:38956,38956,S. Luescher,women,missing_mapping_entry,1,A. Lahey,W35 Klosters,Itf Women Singles,,,,,,
women:api:87740,87740,S. M. Ha,women,unmapped,1,L. Ayala,W15 Monastir 18,Itf Women Singles,,,,,,
men:api:103877,103877,S. Okabe,men,unmapped,1,H. Shiraishi,M15 Tokyo 2,Itf Men Singles,,,,,,
women:api:103896,103896,S. Rooth,women,missing_mapping_entry,1,L. Nilsson,W35 Ystad,Itf Women Singles,,,,,,
women:api:7486,7486,S. Saito,women,ambiguous,1,K. Nishimura,W35 Taipei,Itf Women Singles,women:sackmann:260170,Sara Saito,0.975236,,exact_initial_form,"{""women:api:7486"": ""women:sackmann:260170""}"
women:api:50288,50288,S. Van Emst,women,missing_mapping_entry,1,C. Zanolini,W35 Ystad,Itf Women Singles,,,,,,
women:api:104082,104082,S. Webster,women,missing_mapping_entry,1,K. Kosan,"W15 Irvine, CA",Itf Women Singles,,,,,,
men:api:58949,58949,T. Batin,men,missing_mapping_entry,1,J. Hrazdil,M15 Gyula,Itf Men Singles,,,,,,
men:api:8926,8926,T. Droguet,men,missing_mapping_entry,1,C. Broom,Dublin (Ireland) - Qualification,Challenger Men Singles,,,,,,
men:api:1777,1777,T. M. Etcheverry,men,missing_mapping_entry,1,D. Medvedev,Halle,Atp Singles,,,,,,
women:api:2122,2122,T. Rossini,women,missing_mapping_entry,1,J. Estevez,W15 Luque,Itf Women Singles,,,,,,
men:api:1086,1086,T. Seyboth Wild,men,missing_mapping_entry,1,A. S. Nunez Vera,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,,,,,,
men:api:13371,13371,T. Yamanaka,men,missing_mapping_entry,1,C. Ferguson,M15 Maanshan 6,Itf Men Singles,,,,,,
women:api:2272,2272,U. Radwanska,women,missing_mapping_entry,1,P. Sedlackova,W35 Klosters,Itf Women Singles,,,,,,
women:api:76630,76630,V. Lopez Ocampos,women,missing_mapping_entry,1,L. F. Britez Risso,W15 Luque,Itf Women Singles,,,,,,
women:api:13820,13820,V. Van De Peer,women,missing_mapping_entry,1,A. Stoyanov,W15 Dinard,Itf Women Singles,,,,,,
women:api:1812,1812,Xin. Wang,women,ambiguous,1,M. Keys,Berlin,Wta Singles,women:sackmann:216016,Xiyu Wang,0.975153,,exact_initial_form,"{""women:api:1812"": ""women:sackmann:216016""}"
women:api:9169,9169,Y. Bartashevich,women,missing_mapping_entry,1,S. Lansere,W75 Blois,Itf Women Singles,,,,,,
men:api:796,796,Y. Bu,men,unmapped,1,O. Virtanen,Nottingham,Challenger Men Singles,,,,,,
women:api:57703,57703,Y. L. Muelle Valdez,women,unmapped,1,C. Cervino Ruiz,W35+H Tauste,Itf Women Singles,,,,,,
women:api:42,42,Y. Mansouri,women,missing_mapping_entry,1,A. Palazon,W35+H Tauste,Itf Women Singles,,,,,,
women:api:84923,84923,Y. Tsai,women,ambiguous,1,D. Back,W35 Taipei,Itf Women Singles,women:sackmann:267856,Yu Yun Tsai,0.926687,,initial_surname,"{""women:api:84923"": ""women:sackmann:267856""}"
