api_player_key,api_name,gender,mapping_status,priority,impact_total_matches,impact_atp_wta,impact_grand_slam,impact_challenger,impact_itf,impact_qualifying,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,margin,method,suggested_action,suggested_override_json
men:api:57378,Y. C. Chen,men,ambiguous,low,,,,,,,2,men:sackmann:214029,Ye Chen,10,0.975,,exact_initial_form,candidate,
men:api:57378,Y. C. Chen,men,ambiguous,low,,,,,,,3,men:sackmann:206686,Ying Ze Chen,1,0.975,,exact_initial_form,candidate,
men:api:58219,C. E. Tufekci,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:61033,T. Trufelli,men,ambiguous,low,,,,,,,1,men:sackmann:212770,Timeo Trufelli,23,0.975,0.0,exact_initial_form,manual_review,
men:api:61033,T. Trufelli,men,ambiguous,low,,,,,,,2,men:sackmann:212547,Timeo Trufelli,1,0.975,,exact_initial_form,candidate,
men:api:61814,C. Cordoba,men,ambiguous,low,,,,,,,1,men:sackmann:213059,Carles Cordoba,47,0.975,0.0,exact_initial_form,manual_review,
men:api:61814,C. Cordoba,men,ambiguous,low,,,,,,,2,men:sackmann:211719,Carles Cordoba,1,0.975,,exact_initial_form,candidate,
men:api:63406,K. S. Chen,men,ambiguous,low,,,,,,,1,men:sackmann:208696,Kuan Yu Chen,7,0.975,0.0,exact_initial_form,manual_review,
men:api:63406,K. S. Chen,men,ambiguous,low,,,,,,,2,men:sackmann:213769,Kuan Shou Chen,5,0.975,,multi_initial_surname,candidate,
men:api:63483,E. Kohlmann,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:63925,J. Fuentes Vasquez,men,ambiguous,low,,,,,,,1,men:sackmann:212720,Juan Carlos Fuentes Vasquez,12,0.975,0.0,exact_initial_form,manual_review,
men:api:63925,J. Fuentes Vasquez,men,ambiguous,low,,,,,,,2,men:sackmann:213107,Jacob Israel Ramos Vasquez,2,0.975,,exact_initial_form,candidate,
men:api:662,B. Kuzuhara,men,ambiguous,low,,,,,,,1,men:sackmann:210044,Bruno Kuzuhara,209,0.975,0.0,exact_initial_form,manual_review,
men:api:662,B. Kuzuhara,men,ambiguous,low,,,,,,,2,men:sackmann:210029,Bruno Kuzuhara,14,0.975,,exact_initial_form,candidate,
men:api:66839,Dar. Blanch,men,ambiguous,low,,,,,,,1,men:sackmann:209898,Dali Blanch,215,0.975,0.0,exact_initial_form,manual_review,
men:api:66839,Dar. Blanch,men,ambiguous,low,,,,,,,2,men:sackmann:210464,Darwin Blanch,137,0.975,,exact_initial_form,candidate,
men:api:67442,L. A. Miguel,men,ambiguous,low,,,,,,,1,men:sackmann:213036,Luis Guto Miguel,25,0.975,0.0,exact_initial_form,manual_review,
men:api:67442,L. A. Miguel,men,ambiguous,low,,,,,,,2,men:sackmann:210323,Luis Felipe Miguel,17,0.975,,exact_initial_form,candidate,
