api_player_key,api_raw_player_key,api_name,gender,mapping_status,issue,reason,today_match_count,opponents_today,event_names,event_type_types,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,margin,method,candidate_sources,first_seen_date,last_seen_date,example_tournament,suggested_action,suggested_override_json
women:api:53141,,K. Chung,women,missing_mapping_entry,,no_sackmann_candidate,1,Andy Nguyen,W15 Claremont,Itf Women Singles,1,women:sackmann:264074,Kayla Chung,68,0.975,0.975,exact_initial_form_raw,source_manifest:17;source_sackmann_jsonl:17;canonical_jsonl:17;raw_sackmann_csv:17,2023-06-05,20250623,W15 Lakewood CA,safe_override,"{""women:api:53141"": ""women:sackmann:264074""}"
women:api:104272,,L. Barendse,women,missing_mapping_entry,,no_sackmann_candidate,1,Camilla Zanolini,W15 Alkmaar,Itf Women Singles,,,,,,,,,,,,no_candidate,
men:api:104263,,L. Mouffe,men,missing_mapping_entry,,no_sackmann_candidate,1,Hans Rehberg Max,M25 Brussels,Itf Men Singles,,,,,,,,,,,,no_candidate,
men:api:15241,,Liam Hignett,men,missing_mapping_entry,,no_sackmann_candidate,1,Roberto Perez Socas,M25 Bakio,Itf Men Singles,1,men:sackmann:210723,Liam Hignett,16,1.0,1.0,exact_normalized_raw,source_manifest:4;source_sackmann_jsonl:4;canonical_jsonl:4;raw_sackmann_csv:4,2025-09-15,20260223,M25 Nevers,safe_override,"{""men:api:15241"": ""men:sackmann:210723""}"
women:api:13212,,Lian Tran,women,missing_mapping_entry,,no_sackmann_candidate,1,Lena Ebster Anna,W15 Alkmaar,Itf Women Singles,1,women:sackmann:220560,Lian Tran,646,1.0,1.0,exact_normalized_raw,source_manifest:162;source_sackmann_jsonl:162;raw_sackmann_csv:162;canonical_jsonl:160,2023-01-09,20260504,W15 Monastir,safe_override,"{""women:api:13212"": ""women:sackmann:220560""}"
women:api:462,,Lily Miyazaki Yuriko,women,unmapped,,no_sackmann_candidate,1,Elizara Yaneva,Wimbledon,Wta Singles,1,women:sackmann:213908,Yuriko Miyazaki,776,0.965,0.965,subset_reordered_name,source_manifest:195;source_sackmann_jsonl:195;raw_sackmann_csv:195;canonical_jsonl:191,2023-01-02,20260601,Us Open,review_likely,"{""women:api:462"": ""women:sackmann:213908""}"
men:api:5784,,Louis Allen,men,missing_mapping_entry,,no_sackmann_candidate,1,Isaac Becroft,M15 Monastir 24,Itf Men Singles,1,men:sackmann:209514,Louis Allen,72,1.0,1.0,exact_normalized_raw,source_manifest:18;source_sackmann_jsonl:18;canonical_jsonl:18;raw_sackmann_csv:18,2023-03-27,20260413,M15 Monastir,safe_override,"{""men:api:5784"": ""men:sackmann:209514""}"
women:api:88186,,M. Lo Pumo,women,missing_mapping_entry,,no_sackmann_candidate,1,Marente Sijbesma,W15 Alkmaar,Itf Women Singles,1,women:sackmann:214403,Martina Lo Pumo,44,0.975,0.975,exact_initial_form_raw,source_manifest:11;source_sackmann_jsonl:11;canonical_jsonl:11;raw_sackmann_csv:11,2023-10-30,20250811,W35 Solarino,safe_override,"{""women:api:88186"": ""women:sackmann:214403""}"
women:api:85502,,Ma RuoXi,women,missing_mapping_entry,,no_sackmann_candidate,1,J. Zhou,W15 Maanshan 3,Itf Women Singles,1,women:sackmann:267509,Ma Ruoxi,64,1.0,1.0,exact_normalized_raw,source_manifest:16;source_sackmann_jsonl:16;canonical_jsonl:16;raw_sackmann_csv:16,2024-07-01,20260427,W15 Sharm ElSheikh,safe_override,"{""women:api:85502"": ""women:sackmann:267509""}"
women:api:62374,,Madhurima Sawant,women,missing_mapping_entry,,no_sackmann_candidate,1,Marta Soriano Santiago,W15 Galati,Itf Women Singles,1,women:sackmann:261129,Madhurima Sawant,283,1.0,1.0,exact_normalized_raw,source_manifest:71;source_sackmann_jsonl:71;raw_sackmann_csv:71;canonical_jsonl:70,2023-01-23,20260504,W15 Singapore,safe_override,"{""women:api:62374"": ""women:sackmann:261129""}"
