confidence,api_match_id,api_event_key,date,gender,api_level,api_surface,api_tourney_name,api_winner,api_loser,sackmann_match_id,sackmann_level,sackmann_surface,sackmann_tourney_name,sackmann_winner,sackmann_loser,match_key
medium,api_tennis:12132393,12132393,2026-06-01,men,challenger,clay,Perugia,P. Llamas Ruiz,M. Ribecai,sackmann:men:2026-9001:362:208010:212020,challenger,clay,Perugia CH,Pablo Llamas Ruiz,Michele Ribecai,men|2026-06-01|ruiz|ribecai
medium,api_tennis:12132394,12132394,2026-06-01,men,challenger,clay,Perugia,T. Skatov,V. Gaubas,sackmann:men:2026-9001:367:207608:209147,challenger,clay,Perugia CH,Timofey Skatov,Vilius Gaubas,men|2026-06-01|skatov|gaubas
medium,api_tennis:12132398,12132398,2026-06-01,men,challenger,clay,Heilbronn,L. Poertner,F. Broska,sackmann:men:2026-0460:341:211322:202239,challenger,clay,Heilbronn CH,Lasse Poertner,Florian Broska,men|2026-06-01|poertner|broska
medium,api_tennis:12132401,12132401,2026-06-01,men,challenger,clay,Heilbronn,D. E. Galan,T. Handel,sackmann:men:2026-0460:348:123755:134389,challenger,clay,Heilbronn CH,Daniel Elahi Galan,Tim Handel,men|2026-06-01|galan|handel
medium,api_tennis:12132402,12132402,2026-06-01,men,challenger,clay,Heilbronn,M. Polmans,J. Schifris,sackmann:men:2026-0460:347:117360:208816,challenger,clay,Heilbronn CH,Marc Polmans,Jeremy Schifris,men|2026-06-01|polmans|schifris
medium,api_tennis:12132404,12132404,2026-06-01,men,challenger,clay,Heilbronn,A. Marti Pujolras,D. Fix,sackmann:men:2026-0460:345:207704:210153,challenger,clay,Heilbronn CH,Alex Marti Pujolras,David Fix,men|2026-06-01|pujolras|fix
medium,api_tennis:12132405,12132405,2026-06-01,men,challenger,clay,Heilbronn,M. Kestelboim,S. Nagal,sackmann:men:2026-0460:346:126183:111576,challenger,clay,Heilbronn CH,Mariano Kestelboim,Sumit Nagal,men|2026-06-01|kestelboim|nagal
medium,api_tennis:12132406,12132406,2026-06-01,men,challenger,clay,Heilbronn,D. Stricker,A. Oetzbach,sackmann:men:2026-0460:340:208502:144907,challenger,clay,Heilbronn CH,Dominic Stricker,Adrian Oetzbach,men|2026-06-01|stricker|oetzbach
medium,api_tennis:12132411,12132411,2026-06-01,men,challenger,clay,Heilbronn,P. Martinez,F. Ferreira Silva,sackmann:men:2026-0460:359:124079:106393,challenger,clay,Heilbronn CH,Pedro Martinez,Frederico Ferreira Silva,men|2026-06-01|martinez|silva
medium,api_tennis:12132412,12132412,2026-06-01,men,challenger,clay,Heilbronn,M. Topo,L. Giustino,sackmann:men:2026-0460:356:209916:105841,challenger,clay,Heilbronn CH,Marko Topo,Lorenzo Giustino,men|2026-06-01|topo|giustino
medium,api_tennis:12132413,12132413,2026-06-01,men,challenger,clay,Heilbronn,E. Nava,M. Houkes,sackmann:men:2026-0460:355:207182:208069,challenger,clay,Heilbronn CH,Emilio Nava,Max Houkes,men|2026-06-01|nava|houkes
medium,api_tennis:12132414,12132414,2026-06-01,men,challenger,clay,Heilbronn,G. Den Ouden,P. Kotov,sackmann:men:2026-0460:357:209911:200303,challenger,clay,Heilbronn CH,Guy Den Ouden,Pavel Kotov,men|2026-06-01|ouden|kotov
medium,api_tennis:12132418,12132418,2026-06-01,men,challenger,clay,Heilbronn,M. Dodig,J. J. Schwaerzler,sackmann:men:2026-0460:358:212063:212082,challenger,clay,Heilbronn CH,Matej Dodig,Joel Schwaerzler,men|2026-06-01|dodig|schwaerzler
medium,api_tennis:12132424,12132424,2026-06-01,men,challenger,hard,Tyler,C. Langmo,R. Colby,sackmann:men:2026-2873:345:132052:210242,challenger,hard,Tyler CH,Christian Langmo,Ryan Colby,men|2026-06-01|langmo|colby
medium,api_tennis:12132425,12132425,2026-06-01,men,challenger,hard,Tyler,R. Hohmann,A. Soriano Barrera,sackmann:men:2026-2873:347:208039:202075,challenger,hard,Tyler CH,Ronald Hohmann,Adria Soriano Barrera,men|2026-06-01|hohmann|barrera
medium,api_tennis:12132426,12132426,2026-06-01,men,challenger,hard,Tyler,O. Pieczkowski,G. Johns,sackmann:men:2026-2873:338:210142:208143,challenger,hard,Tyler CH,Olaf Pieczkowski,Garrett Johns,men|2026-06-01|pieczkowski|johns
medium,api_tennis:12132430,12132430,2026-06-01,men,challenger,hard,Tyler,D. Milavsky,W. Manning,sackmann:men:2026-2873:346:212251:213152,challenger,hard,Tyler CH,Daniel Milavsky,William Manning,men|2026-06-01|milavsky|manning
medium,api_tennis:12132431,12132431,2026-06-01,men,challenger,hard,Tyler,K. Poling,J. D. Hara Friend,sackmann:men:2026-2873:337:207202:210221,challenger,hard,Tyler CH,Karl Poling,Jay Dylan Hara Friend,men|2026-06-01|poling|friend
medium,api_tennis:12132432,12132432,2026-06-01,men,challenger,hard,Tyler,B. Shick,D. Martin,sackmann:men:2026-2873:348:211711:202297,challenger,hard,Tyler CH,Braden Shick,Dan Martin,men|2026-06-01|shick|martin
